Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[km/h],[deg],[deg],[deg],[deg],[km/h],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[m],[deg],[m],[m],[deg],[m],,,[g/L],[deg C],[kPa],[%]
7/10/2025 5:57:33 PM,Josh B,,5 Iron,84.74393220485423,0.05,-0.96,0.08,1.04,107.45991540535869,1.2680543917361822,11.960000038146973,-0.05999999865889549,2515.210693359375,-64.98454284667969,2516.050048828125,Estimated,1.4800000190734863,2.890000104904175,47.15999984741211,0.11999999731779099,0.10000000149011612,71.73999786376953,0.18000000715255737,0.2199999988079071,,,1.1509776,21.11,97.22,0
7/10/2025 5:57:57 PM,Josh B,,5 Iron,87.94792964165627,-0.03,1.47,-3.21,-4.68,75.77993662946866,0.861645486576363,7.75,-2.450000047683716,2689.732177734375,293.1484069824219,2705.659912109375,Estimated,-6.21999979019165,0.5299999713897705,14.5600004196167,-2.7200000286102295,-0.6899999976158142,23.399999618530273,-2.8299999237060547,-1.149999976158142,,,1.1509776,21.11,97.22,0
7/10/2025 5:58:14 PM,Josh B,,5 Iron,91.33192693445845,0.72,-0.99,-2.15,-1.16,124.19990064007948,1.3598738667717776,6.510000228881836,-1.8899999856948853,1743.6363525390625,69.72686004638672,1745.030029296875,Estimated,-2.2899999618530273,1.25,39.11000061035156,-2.059999942779541,-1.409999966621399,81.16999816894531,-2.140000104904175,-3.0399999618530273,,,1.1509776,21.11,97.22,0
7/10/2025 5:58:31 PM,Josh B,,5 Iron,96.98392241286207,-1.09,0.64,3.39,2.75,128.3758967499662,1.323682251203122,7.539999961853027,2.859999895095825,2017.2357177734375,-183.2278289794922,2025.5400390625,Estimated,5.190000057220459,1.8899999856948853,49.470001220703125,3.390000104904175,2.9200000762939453,89.04000091552734,3.609999895095825,5.610000133514404,,,1.1509776,21.11,97.22,0
7/10/2025 5:58:44 PM,Josh B,,5 Iron,104.79591616326705,-0.23,-2.93,-3.93,-1.0,136.33188708927548,1.300927479625035,6.980000019073486,-3.5899999141693115,1956.71728515625,59.44129180908203,1957.6199951171875,Estimated,-1.7400000095367432,1.9299999475479126,53.95000076293945,-3.7899999618530273,-3.559999942779541,96.69000244140625,-3.859999895095825,-6.510000228881836,,,1.1509776,21.11,97.22,0
7/10/2025 5:58:58 PM,Josh B,,5 Iron,116.63990668807463,-3.89,3.05,0.45,-2.5999999999999996,157.89587588056492,1.353703722541715,11.5,0.75,3052.553466796875,227.91534423828125,3061.050048828125,Estimated,-4.269999980926514,8.420000076293945,108.95999908447266,-0.33000001311302185,-0.6299999952316284,132.9600067138672,-0.5299999713897705,-1.2400000095367432,,,1.1509776,21.11,97.22,0
7/10/2025 5:59:21 PM,Josh B,,5 Iron,105.08391593286724,0.14,4.61,2.0,-2.6100000000000003,137.1598847789281,1.3052414687948302,11.529999732971191,2.2200000286102295,2351.48681640625,213.17445373535156,2361.1298828125,Estimated,-5.179999828338623,5.099999904632568,78.58999633789062,1.3700000047683716,1.8799999952316284,108.48999786376953,1.1200000047683716,2.109999895095825,,,1.1509776,21.11,97.22,0
7/10/2025 5:59:59 PM,Josh B,,5 Iron,121.03190317447743,0.0,0.0,0.0,0.0,162.17986750952394,1.3399761819470717,12.039999961853027,0.8199999928474426,3334.6298828125,0.0,3334.6298828125,Estimated,-0.0,10.119999885559082,117.12999725341797,0.8399999737739563,1.7200000286102295,134.89999389648438,0.8399999737739563,1.9800000190734863,,,1.1509776,21.11,97.22,0
7/10/2025 6:00:35 PM,Josh B,,5 Iron,108.32391334086931,-0.39,-0.28,-0.33,-0.04999999999999999,153.79188136102616,1.4197408182353979,10.449999809265137,-0.3100000023841858,2481.248779296875,2.598358154296875,2481.25,Estimated,-0.05999999865889549,6.139999866485596,96.9000015258789,-0.33000001311302185,-0.550000011920929,127.77999877929688,-0.33000001311302185,-0.7300000190734863,,,1.1509776,21.11,97.22,0
